tic,skor,ara60,ever,harga,likuid
CSAP,0.4156976744186046,0.0,1,290.0,45610900.0
PTPP,0.41408268733850123,0.0,1,196.0,1755456900.0
SMMA,0.41375968992248063,0.0,2,20025.0,28928750.0
TLKM,0.41311369509043927,0.0,0,2560.0,218506756000.0
RGAS,0.41279069767441867,0.0,0,107.0,4775729050.0
PPRE,0.41279069767441856,0.0,7,104.0,2624942550.0
GJTL,0.4124677002583979,0.0,1,1335.0,6947239250.0
ROCK,0.41214470284237725,1.0,18,1990.0,84963750.0
RDTX,0.41198320413436695,0.0,3,13100.0,4021250.0
KLAS,0.4111757105943153,0.0,1,84.0,784208550.0
LPIN,0.41117571059431524,0.0,0,434.0,39794500.0
PNGO,0.4089147286821706,0.0,2,3600.0,7534000.0
NSSS,0.40891472868217055,0.0,0,790.0,4857882000.0
FILM,0.4076227390180879,0.0,3,730.0,24233990500.0
AMOR,0.40665374677002586,0.0,0,370.0,35197000.0
SKBM,0.4060077519379845,2.0,24,525.0,100084000.0
GUNA,0.40471576227390177,0.0,0,220.0,40894600.0
FAPA,0.4037467700258398,0.0,0,7425.0,7473750.0
CBRE,0.4037467700258398,0.0,11,725.0,9022597750.0
GGRP,0.40342377260981915,0.0,2,328.0,349158100.0
MDKI,0.4027777777777778,0.0,0,191.0,40246600.0
BKSL,0.4027777777777778,0.0,0,69.0,10411377650.0
BEST,0.4024547803617571,0.0,0,124.0,7221986500.0
FWCT,0.4021317829457364,0.0,2,90.0,358582500.0
KBLV,0.40116279069767447,0.0,5,123.0,1941675800.0
DWGL,0.40083979328165376,1.0,14,222.0,1836111700.0
SCNP,0.40051679586563305,0.0,1,159.0,41401200.0
BRAM,0.40019379844961245,0.0,0,4680.0,2067000.0
INPP,0.39987080103359174,0.0,1,710.0,75127000.0
ASRI,0.39987080103359174,0.0,0,124.0,1511760900.0
MNCN,0.39906330749354,0.0,0,188.0,9402793200.0
YELO,0.3972868217054263,0.0,1,92.0,7434066700.0
HERO,0.3969638242894057,0.0,5,338.0,53458000.0
RUIS,0.3969638242894057,0.0,4,202.0,200381400.0
BUDI,0.396640826873385,0.0,0,226.0,54207700.0
FMII,0.3964793281653747,0.0,18,238.0,4230000.0
AKPI,0.39599483204134367,0.0,0,530.0,208402600.0
MSTI,0.39567183462532307,0.0,0,1360.0,1838823000.0
KMTR,0.3950258397932817,0.0,2,252.0,19025000.0
TPMA,0.39405684754521964,0.0,0,476.0,610055100.0
SKLT,0.39405684754521964,0.0,7,204.0,38031000.0
APIC,0.39405684754521964,0.0,3,412.0,579601750.0
EMTK,0.3932493540051679,0.0,1,468.0,21260009400.0
YUPI,0.3930878552971576,2.0,2,1295.0,65379000.0
JSMR,0.39276485788113696,0.0,0,2880.0,6494065000.0
PWON,0.3927648578811369,0.0,0,268.0,9246025700.0
BBNI,0.3927648578811369,0.0,0,3650.0,121218810500.0
MPRO,0.39244186046511625,1.0,9,11675.0,26445000.0
LPKR,0.3922803617571059,0.0,1,53.0,8910157050.0
PNIN,0.3921188630490956,0.0,0,710.0,164878750.0
RICY,0.3921188630490956,0.0,4,79.0,106412150.0
EURO,0.39179586563307495,0.0,0,1455.0,548288250.0
BOAT,0.3917958656330749,0.0,1,139.0,387006450.0
OMED,0.3911498708010336,0.0,0,216.0,4672850400.0
KRAS,0.39082687338501293,0.0,2,226.0,903011200.0
JPFA,0.3908268733850129,0.0,0,2280.0,33965036500.0
CAKK,0.3905038759689922,0.0,1,164.0,56738300.0
ELPI,0.3900193798449612,0.0,5,620.0,737608500.0
DGIK,0.3898578811369509,0.0,0,135.0,1389245700.0
SDPC,0.38953488372093026,0.0,6,193.0,52855900.0
DRMA,0.38953488372093026,0.0,0,965.0,714569750.0
DEPO,0.3888888888888889,1.0,5,244.0,77039900.0
MRAT,0.38872739018087854,0.0,7,356.0,112447800.0
UFOE,0.3879198966408268,0.0,4,143.0,58486950.0
IDPR,0.3875968992248062,0.0,3,268.0,10598200.0
SMSM,0.3863049095607235,0.0,0,1720.0,4258704000.0
OKAS,0.3863049095607235,0.0,5,116.0,571535700.0
VINS,0.38598191214470284,0.0,4,143.0,58805050.0
PAMG,0.38598191214470284,0.0,2,53.0,358512400.0
HGII,0.38501291989664077,0.0,0,140.0,225004100.0
TRST,0.38404392764857886,0.0,0,474.0,30969100.0
BISI,0.3830749354005168,0.0,0,730.0,168343000.0
CSIS,0.3817829457364341,0.0,7,204.0,375250900.0
PGAS,0.3814599483204134,0.0,0,1475.0,43884225000.0
CITA,0.38016795865633074,0.0,1,3480.0,531207000.0
MIDI,0.37790697674418605,0.0,1,268.0,2427276100.0
CGAS,0.3772609819121447,0.0,4,151.0,550971350.0
ICBP,0.37693798449612403,0.0,0,6900.0,28142696250.0
RAAM,0.37677648578811374,0.0,4,174.0,200580450.0
BNBA,0.3766149870801033,0.0,3,790.0,283828250.0
GIAA,0.3766149870801033,0.0,0,62.0,8118358350.0
MERK,0.375,0.0,0,3900.0,81619000.0
BJBR,0.375,0.0,0,755.0,1629995250.0
AWAN,0.37467700258397935,0.0,1,162.0,71132750.0
GDYR,0.3746770025839793,0.0,0,1110.0,7542000.0
BKSW,0.374515503875969,0.0,0,50.0,125938450.0
EXCL,0.37435400516795864,0.0,0,2500.0,14621205500.0
WOWS,0.37322351421188626,0.0,2,53.0,1962091550.0
TCPI,0.37290051679586567,0.0,0,1450.0,9955453750.0
TYRE,0.37273901808785526,0.0,0,112.0,146483500.0
ASHA,0.3722545219638243,0.0,1,51.0,1134970750.0
LAND,0.37209302325581395,1.0,3,70.0,1057076150.0
KDTN,0.37144702842377264,1.0,7,376.0,1918608100.0
BMTR,0.3714470284237726,0.0,0,115.0,6850919550.0
BNLI,0.37112403100775193,0.0,0,2100.0,96228500.0
PANS,0.36918604651162795,0.0,0,1655.0,255964250.0
PBID,0.36660206718346255,0.0,0,525.0,473485500.0
KOBX,0.3659560723514212,1.0,4,177.0,385624550.0
PNLF,0.36563307493540054,0.0,0,210.0,4704220100.0
LABA,0.3653100775193798,0.0,5,124.0,4700505250.0
GHON,0.3653100775193798,0.0,0,1640.0,16038250.0
WIFI,0.3649870801033592,0.0,6,1930.0,50836864750.0
PJHB,0.3649870801033592,0.0,2,176.0,430327650.0
ZONE,0.3624031007751938,3.0,5,695.0,48053500.0
DGWG,0.36046511627906974,0.0,0,328.0,3442346300.0
BGTG,0.35981912144702843,0.0,0,116.0,678885450.0
GMTD,0.3594961240310077,0.0,3,1220.0,38880750.0
TOBA,0.35917312661498707,0.0,2,510.0,8793854750.0
KRYA,0.35723514211886304,0.0,6,65.0,1970359750.0
IOTF,0.356266149870801,0.0,3,62.0,2541712250.0
ADMR,0.3556201550387597,0.0,1,1590.0,60936154750.0
AMAG,0.35497416020671835,0.0,0,386.0,25413100.0
HMSP,0.35465116279069764,0.0,0,650.0,9293331000.0
MGRO,0.35432816537467704,0.0,0,685.0,2641131500.0
MCOR,0.353359173126615,0.0,0,68.0,228124400.0
MTDL,0.35319767441860467,0.0,0,496.0,1181937000.0
YOII,0.3530361757105943,0.0,0,81.0,273039800.0
DVLA,0.3527131782945736,0.0,0,1585.0,66493250.0
BCIP,0.352390180878553,0.0,1,59.0,361371250.0
CARE,0.3520671834625323,0.0,4,406.0,109187000.0
GGRM,0.351421188630491,0.0,1,17900.0,20088581250.0
MAIN,0.35125968992248063,0.0,1,665.0,982396250.0
ITIC,0.35045219638242897,0.0,4,204.0,70965100.0
BAYU,0.35012919896640826,0.0,0,1330.0,215022750.0
JGLE,0.34980620155038755,1.0,1,72.0,39138456200.0
DATA,0.34851421188630494,0.0,10,1685.0,3057750750.0
AGRO,0.34851421188630494,0.0,0,145.0,757355950.0
PSAT,0.3472222222222222,0.0,0,860.0,56545500.0
IPOL,0.3462532299741602,0.0,1,116.0,95921300.0
INDF,0.34593023255813954,0.0,0,7025.0,38120596250.0
MERI,0.3456072351421189,0.0,2,118.0,394726650.0
RLCO,0.34431524547803616,0.0,10,4280.0,1753352500.0
HOKI,0.3412467700258398,0.0,0,50.0,570335850.0
BNII,0.3410852713178295,0.0,0,193.0,104848450.0
SSIA,0.34108527131782945,0.0,2,1730.0,37409762500.0
PNBN,0.3409237726098191,0.0,0,850.0,1498709250.0
ANJT,0.34076227390180874,0.0,1,1605.0,161335750.0
MEGA,0.33882428940568476,0.0,3,1960.0,71750250.0
SPTO,0.33850129198966405,0.0,0,600.0,317260500.0
PZZA,0.33850129198966405,0.0,2,188.0,188771900.0
CTRA,0.3381782945736434,0.0,0,570.0,5789721250.0
WIIM,0.33801679586563305,0.0,0,1395.0,2630578000.0
WEGE,0.3375322997416021,0.0,1,50.0,1631833250.0
MCOL,0.335594315245478,0.0,0,3600.0,86131500.0
DNET,0.334625322997416,0.0,1,9800.0,91241250.0
JTPE,0.334140826873385,0.0,1,585.0,419742250.0
ADES,0.33333333333333337,0.0,0,32175.0,310241250.0
AGRS,0.33317183462532296,0.0,1,59.0,372455550.0
MTMH,0.33301033591731266,0.0,0,925.0,10041500.0
ESSA,0.33042635658914726,0.0,0,605.0,61883367000.0
WTON,0.3301033591731266,0.0,1,78.0,379316400.0
MYOR,0.3291343669250646,0.0,0,1505.0,23920006750.0
GMFI,0.32881136950904394,0.0,0,58.0,6027239000.0
PEHA,0.3278423772609819,0.0,1,290.0,314130600.0
SSTM,0.32751937984496127,0.0,29,460.0,103859100.0
BACA,0.3268733850129199,0.0,1,119.0,203961150.0
PANR,0.32687338501291985,0.0,0,414.0,25731700.0
CMNT,0.32655038759689925,0.0,0,765.0,17507835000.0
MLBI,0.32558139534883723,0.0,0,6875.0,445895000.0
INOV,0.3246124031007752,0.0,5,136.0,304408450.0
CEKA,0.3236434108527132,0.0,0,2200.0,66727000.0
CYBR,0.3233204134366925,0.0,0,520.0,14560878750.0
AVIA,0.3231589147286822,0.0,0,330.0,4052764300.0
DNAR,0.32235142118863047,0.0,4,131.0,137990400.0
EAST,0.32202842377260976,0.0,0,89.0,107401650.0
LPCK,0.3210594315245478,0.0,2,595.0,204501500.0
RISE,0.3200904392764858,0.0,15,800.0,1401200500.0
BALI,0.31976744186046513,1.0,4,1310.0,27938000.0
MKPI,0.31524547803617575,0.0,3,21675.0,893341250.0
ARNA,0.31492248062015504,0.0,0,510.0,1656655700.0
MPMX,0.31427648578811374,0.0,0,1030.0,3679394500.0
SFAN,0.312984496124031,0.0,0,2010.0,101302500.0
MLPL,0.31233850129198965,0.0,1,87.0,2087556150.0
GTBO,0.31185400516795864,0.0,13,148.0,1035450.0
HAIS,0.3113695090439277,0.0,0,185.0,112115200.0
ARKO,0.3112080103359173,0.0,4,3920.0,16199693500.0
TBMS,0.3097545219638243,0.0,2,1245.0,34874750.0
RMKE,0.3089470284237726,0.0,1,394.0,35520691400.0
BPTR,0.3084625322997416,0.0,3,73.0,114607350.0
BULL,0.3081395348837209,0.0,4,390.0,146511494500.0
BIPI,0.3081395348837209,0.0,3,140.0,63451395900.0
SIDO,0.30781653746770027,0.0,0,354.0,8167483700.0
GTSI,0.30781653746770027,0.0,3,147.0,5334423550.0
CLPI,0.3074935400516796,0.0,0,1610.0,116994750.0
BBHI,0.3066860465116279,0.0,4,900.0,12490247500.0
HEXA,0.3057170542635659,0.0,0,4100.0,2170938000.0
BBTN,0.30523255813953487,0.0,0,1170.0,16841710500.0
GPSO,0.30458656330749356,0.0,10,284.0,9483868500.0
KIOS,0.3039405684754522,0.0,4,98.0,2060594150.0
ARTO,0.3028100775193798,0.0,3,905.0,18908241250.0
IGAR,0.30264857881136953,0.0,1,472.0,17792300.0
SUNI,0.30264857881136953,0.0,1,680.0,227523250.0
ROTI,0.3021640826873385,0.0,0,580.0,312078500.0
MINA,0.30022609819121443,0.0,8,238.0,10931080300.0
CHEK,0.30006459948320413,0.0,0,129.0,95456650.0
BUAH,0.2999031007751938,0.0,0,496.0,122309400.0
TALF,0.2997416020671835,2.0,18,680.0,106633750.0
BRPT,0.29844961240310075,0.0,4,1610.0,128123715500.0
TSPC,0.2981266149870801,0.0,0,2770.0,1360523500.0
BAIK,0.29780361757105944,0.0,5,242.0,4363059400.0
UNVR,0.2968346253229974,0.0,0,1650.0,21048018250.0
ATIC,0.2968346253229974,0.0,2,450.0,25263800.0
SONA,0.29521963824289404,0.0,9,2300.0,32716000.0
STTP,0.2945736434108527,0.0,2,9375.0,10833750.0
IPCC,0.29328165374677,0.0,0,1110.0,811874500.0
MSIN,0.291828165374677,0.0,7,290.0,15538173800.0
MAYA,0.2916666666666667,0.0,2,193.0,137215250.0
KDSI,0.290374677002584,0.0,0,446.0,4205600.0
SDRA,0.289890180878553,0.0,0,208.0,209677500.0
PDES,0.289405684754522,1.0,5,390.0,84063900.0
MDIY,0.2890826873385013,0.0,0,940.0,654295250.0
PTMP,0.28875968992248063,0.0,3,62.0,795648050.0
CDIA,0.28843669250646,0.0,4,645.0,41729460500.0
SOLA,0.28811369509043927,0.0,3,89.0,475489800.0
MORA,0.28795219638242897,1.0,16,4850.0,1268860000.0
TFAS,0.28746770025839796,0.0,11,187.0,51136900.0
BAPA,0.28649870801033595,0.0,4,126.0,1447756050.0
ASBI,0.28649870801033595,0.0,0,400.0,5071900.0
RATU,0.2861757105943153,0.0,6,4210.0,51745991500.0
ACES,0.28617571059431524,0.0,0,350.0,6525344400.0
BBKP,0.28601421188630494,0.0,1,50.0,3355771300.0
PEVE,0.2852067183462532,0.0,1,306.0,378649400.0
KONI,0.2852067183462532,1.0,23,2090.0,40498000.0
HUMI,0.28488372093023256,0.0,3,127.0,6468578700.0
BLOG,0.2845607235142119,0.0,0,366.0,124555800.0
INDS,0.2832687338501292,0.0,9,254.0,428692900.0
BIRD,0.28229974160206717,0.0,0,1610.0,1316696250.0
TBLA,0.28165374677002586,0.0,0,630.0,1053248500.0
AXIO,0.2793927648578811,0.0,1,114.0,83801950.0
LPLI,0.27810077519379844,0.0,4,230.0,48305300.0
ZYRX,0.27745478036175714,0.0,1,129.0,80242500.0
IPCM,0.2768087855297158,0.0,0,290.0,213225900.0
BVIC,0.2751937984496124,0.0,0,93.0,157238950.0
BUVA,0.27503229974160204,0.0,7,665.0,54515820250.0
GRPM,0.272125322997416,0.0,0,167.0,1108081350.0
SPMA,0.27099483204134367,0.0,2,170.0,86205750.0
ERTX,0.26937984496124034,0.0,13,172.0,104968550.0
MLIA,0.2676033591731266,0.0,0,214.0,16515300.0
RALS,0.2671188630490956,0.0,0,386.0,878344800.0
GOTO,0.2666343669250646,0.0,1,50.0,462155000.0
JRPT,0.2655038759689922,0.0,0,1150.0,542647250.0
PANI,0.26372739018087854,0.0,0,5275.0,32421701250.0
BRIS,0.26372739018087854,0.0,0,1610.0,30647219750.0
SMDM,0.26308139534883723,0.0,13,540.0,21172000.0
CMNP,0.2596899224806202,0.0,3,1370.0,92058500.0
BNBR,0.2596899224806202,0.0,0,86.0,92010808200.0
PBSA,0.2583979328165375,0.0,3,725.0,1108327250.0
LEAD,0.2571059431524548,1.0,2,106.0,2500902200.0
MDLA,0.2564599483204134,0.0,1,206.0,412445100.0
ENAK,0.25597545219638246,0.0,1,212.0,76883500.0
BREN,0.2558139534883721,0.0,4,3180.0,73322169500.0
GOOD,0.25549095607235145,0.0,0,310.0,61160800.0
SUPA,0.2545219638242894,0.0,0,500.0,7091220250.0
DYAN,0.25355297157622736,0.0,1,85.0,330605350.0
MASB,0.2506459948320413,0.0,0,3240.0,34059500.0
MHKI,0.24903100775193798,0.0,1,129.0,460530450.0
ASPR,0.2467700258397933,0.0,1,139.0,3304446200.0
SAME,0.2437015503875969,0.0,0,294.0,271250000.0
TRIS,0.24321705426356588,0.0,4,172.0,148202950.0
LPGI,0.2422480620155039,0.0,2,640.0,5831500.0
DMMX,0.24160206718346253,1.0,2,186.0,225115300.0
PSGO,0.24127906976744184,0.0,1,195.0,62217500.0
CSRA,0.24014857881136953,0.0,0,745.0,295436000.0
RAJA,0.23885658914728683,0.0,3,725.0,52604328250.0
CHIP,0.2369186046511628,0.0,0,735.0,76189750.0
EPAC,0.23530361757105944,0.0,0,50.0,2708273750.0
KEEN,0.23142764857881137,0.0,1,855.0,7455722250.0
ADMF,0.23029715762273903,0.0,0,8725.0,421935000.0
DILD,0.22997416020671835,0.0,0,116.0,1619199650.0
PJAA,0.22868217054263568,0.0,1,468.0,30756200.0
CTBN,0.22803617571059429,0.0,4,3070.0,118560500.0
DAAZ,0.22771317829457366,0.0,3,1635.0,732200000.0
BJTM,0.2270671834625323,0.0,0,520.0,2360380750.0
NPGF,0.2265826873385013,0.0,1,53.0,909769650.0
ASDM,0.2215762273901809,0.0,0,515.0,7529000.0
DLTA,0.21866925064599482,0.0,0,1790.0,112027250.0
IKPM,0.21689276485788112,0.0,0,178.0,47002050.0
BBSS,0.21172480620155038,0.0,7,79.0,1023134450.0
REAL,0.21075581395348839,0.0,2,50.0,39237500.0
PNBS,0.2094638242894057,0.0,0,50.0,14197500.0
CNMA,0.20768733850129198,0.0,1,91.0,2222966300.0
GPRA,0.20671834625323,0.0,0,102.0,13409182200.0
AMAN,0.20623385012919898,0.0,9,220.0,72769700.0
TPIA,0.20251937984496124,0.0,1,1835.0,362657351500.0
KEJU,0.19993540051679587,0.0,7,595.0,51654750.0
TCID,0.19880490956072353,0.0,3,2540.0,7193000.0
OASA,0.19509043927648578,0.0,7,278.0,7123530600.0
BEER,0.19331395348837208,0.0,3,76.0,1318646100.0
SOTS,0.19121447028423771,0.0,28,600.0,145493250.0
WOOD,0.1876614987080103,0.0,1,196.0,653520400.0
BANK,0.18685400516795864,0.0,1,254.0,703199700.0
LIVE,0.18685400516795864,0.0,4,181.0,857049600.0
CASS,0.18507751937984496,0.0,1,1835.0,196843750.0
ASSA,0.1820090439276486,0.0,0,595.0,8861418000.0
PALM,0.1802325581395349,0.0,0,290.0,66770200.0
SULI,0.17990956072351422,1.0,3,85.0,756490200.0
NICL,0.1781330749354005,0.0,7,452.0,23394322800.0
CPRO,0.17764857881136953,0.0,1,50.0,180555000.0
PUDP,0.1776485788113695,0.0,15,272.0,49352500.0
BOBA,0.1753875968992248,0.0,7,206.0,158410200.0
WINE,0.16101421188630494,0.0,6,129.0,135867100.0
NELY,0.1532622739018088,0.0,1,204.0,224076700.0
BBMD,0.15229328165374678,0.0,0,1900.0,3238000.0
BCAP,0.15035529715762275,0.0,0,50.0,6107500.0
ATLA,0.14680232558139536,0.0,4,50.0,19247500.0
MAXI,0.14486434108527133,0.0,1,50.0,3432500.0
DADA,0.14421834625322996,0.0,0,50.0,5112500.0
BABP,0.14324935400516797,0.0,0,50.0,9680000.0
MDLN,0.14131136950904394,0.0,0,50.0,16470000.0
JIHD,0.13614341085271317,0.0,7,430.0,83023500.0
HDIT,0.1128875968992248,0.0,1,50.0,97387500.0
TIRA,0.11127260981912145,0.0,3,390.0,207778400.0
SATU,0.10998062015503876,0.0,3,238.0,44034700.0
WMUU,0.10513565891472869,0.0,0,50.0,133892500.0
NETV,0.10093669250645995,0.0,2,50.0,40830000.0
BSBK,0.09544573643410853,0.0,6,50.0,129242500.0
