tic,skor,ara60,ever,harga,likuid
MEDS,0.7545219638242893,1.0,5,82.0,2749811550.0
DEWI,0.750968992248062,0.0,1,189.0,7202081700.0
MINE,0.748062015503876,0.0,1,306.0,538994700.0
VTNY,0.748062015503876,0.0,3,74.0,2013584850.0
POWR,0.7474160206718348,0.0,0,1025.0,7686623500.0
KJEN,0.7467700258397933,0.0,10,161.0,1169844250.0
GDST,0.7451550387596899,0.0,1,120.0,813129050.0
KOCI,0.7445090439276486,0.0,5,119.0,2497444350.0
KKGI,0.7438630490956072,0.0,0,324.0,1063036100.0
IMPC,0.7432170542635659,0.0,1,1695.0,26436818500.0
KETR,0.7432170542635659,0.0,10,995.0,36269220250.0
VICO,0.7412790697674418,0.0,2,172.0,16914400.0
BBLD,0.7399870801033592,0.0,0,670.0,39024750.0
SMLE,0.7399870801033592,0.0,2,210.0,5073002400.0
MSIE,0.7380490956072351,0.0,0,173.0,1899169950.0
SMKM,0.7374031007751938,0.0,0,95.0,362705350.0
LSIP,0.7370801033591731,0.0,0,1695.0,17851754500.0
EKAD,0.7370801033591731,3.0,3,398.0,4418981900.0
RELI,0.7361111111111112,0.0,8,560.0,8315250.0
TOWR,0.735142118863049,0.0,0,414.0,25355595600.0
PICO,0.7344961240310077,1.0,11,177.0,412833800.0
SOFA,0.7322351421188631,0.0,0,350.0,1895047100.0
NRCA,0.7296511627906976,0.0,10,585.0,3746572000.0
GWSA,0.726421188630491,0.0,0,158.0,252473250.0
AHAP,0.726421188630491,0.0,5,104.0,2490896700.0
BAJA,0.7235142118863049,3.0,4,350.0,1459430400.0
LABS,0.7222222222222222,0.0,1,173.0,204254000.0
JATI,0.7218992248062016,0.0,5,117.0,1901094850.0
JAYA,0.7215762273901809,0.0,3,160.0,1262642950.0
VAST,0.7170542635658914,0.0,3,122.0,190909550.0
PTSP,0.7164082687338501,2.0,9,1245.0,75498250.0
AADI,0.7144702842377261,0.0,0,11975.0,135750842500.0
DEFI,0.7109173126614987,1.0,9,111.0,1264935650.0
GSMF,0.7109173126614986,1.0,4,101.0,597344700.0
COCO,0.7102713178294574,3.0,22,133.0,87470071900.0
NZIA,0.7099483204134367,0.0,12,173.0,4829696950.0
SGER,0.709625322997416,0.0,3,700.0,33290500750.0
OILS,0.7080103359173127,0.0,6,306.0,2207825900.0
RODA,0.7076873385012921,0.0,3,64.0,1021794550.0
APEX,0.7067183462532299,0.0,6,183.0,3290366000.0
YPAS,0.7063953488372093,3.0,15,1340.0,426405500.0
