tic,score,vol20,off_lo60,mom20,volsurge,liq,px,r_hari,ara_60h
MGNA,0.9938630490956073,0.11172633582633584,1.5062541145490478,1.0927643784786647,56.46373986686355,598198300.0,216.0,0.1428571428571428,3
SAFE,0.9886950904392764,0.099171418738104,1.909400803998262,1.2176501035196683,22.914139512834456,57376800.0,1045.0,-0.09913793103448276,3
SEMA,0.9861111111111112,0.08590813284141718,1.8622117090479007,1.6535087719298245,44.6537402848746,203426350.0,264.0,0.07317073170731714,1
NASI,0.975452196382429,0.07989294632632922,1.2466531440162258,0.762758620689655,41.23564307390694,687992850.0,234.0,0.3448275862068966,1
ASPI,0.963501291989664,0.08537248465933427,1.2591653004974055,0.7336241199877565,7.330769212301059,791382300.0,690.0,0.08661417322834652,4
UANG,0.9605943152454781,0.10470683375524492,1.0060216501671007,0.6125685985811804,5.357212885357786,1031217000.0,3950.0,-0.08139534883720934,4
JARR,0.9602713178294574,0.09037821373983364,1.083276213613293,0.8251599147121538,5.346476938451353,71613913500.0,3600.0,-0.1408114558472554,2
TEBE,0.959625322997416,0.08604469965726907,1.2397761389439297,0.5398208955223887,6.7054858513926305,20949031750.0,2080.0,0.058524173027989734,2
POLA,0.959625322997416,0.10250310708098251,0.5384615384615388,0.40161725067385445,73.40922115137509,775320750.0,80.0,-0.05882352941176472,1
PTSN,0.9560723514211887,0.08033265383007653,0.7050053810384387,0.3429767795964984,68.36284242543643,166488800.0,392.0,-0.08411214953271029,1
FPNI,0.9560723514211886,0.08948379328387368,1.046153846153846,0.5272727272727267,5.785778209738104,6024730250.0,600.0,0.16504854368932032,2
DPUM,0.9551033591731266,0.09038237516482142,0.6399040760219945,0.50465425531915,11.707532377394793,2232371550.0,146.0,-0.020134228187919434,1
SAPX,0.9521963824289406,0.12527125452775104,0.5542857142857145,0.44339622641509435,12.08558747450393,242047100.0,306.0,-0.0496894409937888,4
IDEA,0.9470284237726099,0.05457864629465067,1.2306352459016412,0.9198412698412706,13.359154909611883,264539750.0,123.0,0.09821428571428581,0
SQMI,0.9454134366925063,0.10376107177252739,1.5238095238095242,0.5460829493087562,2.761898298958271,23326379550.0,99.0,0.010204081632652962,1
MITI,0.9425064599483204,0.0718916715897771,0.7082231623479642,0.37842245300832533,11.951160037539582,893350400.0,292.0,0.050359712230215736,2
WAPO,0.9421834625322998,0.05377762922979382,1.002680394741812,0.4673703610622433,31.15028997592453,255072900.0,232.0,0.22751322751322745,0
SMMT,0.9405684754521964,0.07010228036987037,0.7332883270360806,0.6033057851239663,6.55634258334375,641972250.0,2910.0,-0.02020202020202022,1
AKSI,0.9386304909560724,0.07972928304215117,0.934961038961039,0.648141592920354,3.5532432657197672,413644800.0,388.0,0.015706806282722585,1
CCSI,0.9357235142118863,0.0689892192927057,0.6672519754170316,0.5261768082663605,7.512903857296569,356044700.0,422.0,-0.027649769585253448,1
AGAR,0.9324935400516796,0.10521917686312537,8.28408225437929,0.1464174454828664,4.977562262688359,408942750.0,1840.0,-0.14814814814814814,8
KICI,0.917312661498708,0.06903514222410741,0.4578627570841145,0.32945252945252945,12.741085047716528,772415800.0,352.0,0.24822695035460995,1
