tic,Skor,Harga,Vol20,vs_dasar60,Mom20,VolSurge,Likuid_jt,ARA_60h,r_Jumat,streak
KOBX,36.6,177,0.8,24,0,0.5,386,1,0.0,0
ZONE,36.2,695,2.0,37,-10,0.3,48,3,-2.8,0
JGLE,35.0,72,3.1,21,-32,0.3,39138,1,-1.4,0
BALI,32.0,1310,4.1,2,-4,0.2,28,1,0.0,0
TALF,30.0,680,2.3,21,-15,0.2,107,2,-3.5,0
PDES,28.9,390,1.7,5,-3,0.6,84,1,0.5,0
MORA,28.8,4850,1.9,0,-14,1.4,1269,1,-5.4,0
KONI,28.5,2090,1.5,2,-11,1.3,40,1,0.0,0
LEAD,25.7,106,3.3,2,-18,0.3,2501,1,1.9,0
DMMX,24.2,186,1.2,13,-5,0.3,225,1,0.0,0
SULI,18.0,85,1.8,5,-18,0.3,756,1,-2.3,0
